String = 2.0290 1.143415e-06 7.891749e+04 1.128856e+03 2.02e+11 1.040395e-13 8e+10 0.85
String = 2.0230 1.415683e-06 7.103486e+04 1.403777e+03 2.02e+11 1.594858e-13 8e+10 0.85
String = 2.0180 1.607652e-06 6.387795e+04 1.601127e+03 2.02e+11 2.056715e-13 8e+10 0.85
String = 2.0070 1.721115e-06 5.778735e+04 1.721669e+03 2.02e+11 2.357273e-13 8e+10 0.85
String = 1.9970 1.779395e-06 5.222877e+04 1.787813e+03 2.02e+11 2.519620e-13 8e+10 0.85
String = 1.9810 1.781706e-06 4.749409e+04 1.798043e+03 2.02e+11 2.526168e-13 8e+10 0.85
String = 1.9650 1.749413e-06 4.319468e+04 1.773270e+03 2.02e+11 2.435425e-13 8e+10 0.85
String = 1.9380 1.673139e-06 3.973735e+04 1.703481e+03 2.02e+11 2.227687e-13 8e+10 0.85
String = 1.9110 1.581785e-06 3.657130e+04 1.617633e+03 2.02e+11 1.991064e-13 8e+10 0.85
String = 1.8790 1.475045e-06 3.385072e+04 1.515196e+03 2.02e+11 1.731413e-13 8e+10 0.85
String = 1.8420 1.360452e-06 3.152145e+04 1.403726e+03 2.02e+11 1.472843e-13 8e+10 0.85
String = 1.8050 1.251256e-06 2.937644e+04 1.296837e+03 2.02e+11 1.245899e-13 8e+10 0.85
String = 1.7620 1.143368e-06 2.758763e+04 1.190336e+03 2.02e+11 1.040309e-13 8e+10 0.85
String = 1.7090 1.035971e-06 2.624334e+04 1.083377e+03 2.02e+11 8.540539e-14 8e+10 0.85
String = 1.6550 9.429344e-07 2.504313e+04 9.905276e+02 2.02e+11 7.075434e-14 8e+10 0.85
String = 1.6020 8.668002e-07 2.391913e+04 9.146638e+02 2.02e+11 5.978994e-14 8e+10 0.85
String = 1.5480 8.048044e-07 2.292549e+04 8.530897e+02 2.02e+11 5.154314e-14 8e+10 0.85
String = 1.4950 7.579922e-07 2.199747e+04 8.071149e+02 2.02e+11 4.572141e-14 8e+10 0.85
String = 1.4420 7.238171e-07 2.116039e+04 7.742303e+02 2.02e+11 4.169153e-14 8e+10 0.85
String = 1.3780 6.894872e-07 2.073764e+04 7.408713e+02 2.02e+11 3.783054e-14 8e+10 0.85
String = 1.8370 9.798362e-07 7.887013e+03 7.987573e+02 2.02e+11 7.640065e-14 8e+10 0.85
String = 1.7570 9.638048e-07 7.733581e+03 7.910710e+02 2.02e+11 7.392109e-14 8e+10 0.85
String = 1.6600 9.350939e-07 7.771619e+03 7.727815e+02 2.02e+11 6.958258e-14 8e+10 0.85
String = 1.5910 9.414515e-07 7.589287e+03 7.834022e+02 2.02e+11 7.053197e-14 8e+10 0.85
String = 1.4817 9.003201e-07 7.850000e+03 7.543614e+02 2.02e+11 6.450360e-14 8e+10 0.85
String = 1.4033 8.941781e-07 7.850000e+03 7.544189e+02 2.02e+11 6.362652e-14 8e+10 0.85
String = 1.3292 8.902015e-07 7.850000e+03 7.562987e+02 2.02e+11 6.306186e-14 8e+10 0.85
String = 1.2590 8.872060e-07 7.850000e+03 7.590257e+02 2.02e+11 6.263817e-14 8e+10 0.85
String = 1.1925 8.843241e-07 7.850000e+03 7.618703e+02 2.02e+11 6.223190e-14 8e+10 0.85
String = 1.1295 8.809526e-07 7.850000e+03 7.643114e+02 2.02e+11 6.175828e-14 8e+10 0.85
String = 1.0699 8.767038e-07 7.850000e+03 7.660016e+02 2.02e+11 6.116401e-14 8e+10 0.85
